family,short_name,description,source
RF01223,"TPA_inf: Saccharomyces cerevisiae S288C chromosome IV, complete sequence","TPA_inf: Saccharomyces cerevisiae S288C chromosome IV, complete sequence",header
RF01224,RF01224,RF01224,fallback
RF01225,RF01225,RF01225,fallback
RF01227,RF01227,RF01227,fallback
RF01228,RF01228,RF01228,fallback
RF01229,RF01229,RF01229,fallback
RF01230,RF01230,RF01230,fallback
RF01231,RF01231,RF01231,fallback
RF01233,RF01233,RF01233,fallback
RF01234,RF01234,RF01234,fallback
RF01236,Arabidopsis thaliana chromosome 5,Arabidopsis thaliana chromosome 5,header
RF01239,RF01239,RF01239,fallback
RF01241,RF01241,RF01241,fallback
RF01242,RF01242,RF01242,fallback
RF01247,RF01247,RF01247,fallback
RF01248,RF01248,RF01248,fallback
RF01251,"TPA_inf: Saccharomyces cerevisiae S288C chromosome X, complete sequence","TPA_inf: Saccharomyces cerevisiae S288C chromosome X, complete sequence",header
RF01252,RF01252,RF01252,fallback
RF01253,RF01253,RF01253,fallback
RF01255,RF01255,RF01255,fallback
RF01256,RF01256,RF01256,fallback
RF01258,RF01258,RF01258,fallback
RF01262,RF01262,RF01262,fallback
RF01263,RF01263,RF01263,fallback
RF01267,RF01267,RF01267,fallback
RF01268,RF01268,RF01268,fallback
RF01269,RF01269,RF01269,fallback
RF01277,RF01277,RF01277,fallback
RF01278,RF01278,RF01278,fallback
RF01279,RF01279,RF01279,fallback
RF01280,RF01280,RF01280,fallback
RF01281,RF01281,RF01281,fallback
RF01283,RF01283,RF01283,fallback
RF01284,RF01284,RF01284,fallback
RF01285,RF01285,RF01285,fallback
RF01286,RF01286,RF01286,fallback
RF01287,RF01287,RF01287,fallback
RF01288,RF01288,RF01288,fallback
RF01290,RF01290,RF01290,fallback
RF01291,RF01291,RF01291,fallback
RF01292,RF01292,RF01292,fallback
RF01294,RF01294,RF01294,fallback
RF01295,RF01295,RF01295,fallback
RF01296,RF01296,RF01296,fallback
RF01299,RF01299,RF01299,fallback
RF01300,RF01300,RF01300,fallback
RF01302,RF01302,RF01302,fallback
RF01315,RF01315,RF01315,fallback
RF01316,RF01316,RF01316,fallback
RF01317,RF01317,RF01317,fallback
RF01318,RF01318,RF01318,fallback
RF01320,RF01320,RF01320,fallback
RF01322,RF01322,RF01322,fallback
RF01325,RF01325,RF01325,fallback
RF01329,"Scytonema hofmannii PCC 7110 genomic scaffold Scaffold1, whole genome shotgun se","Scytonema hofmannii PCC 7110 genomic scaffold Scaffold1, whole genome shotgun sequence",header
RF01330,RF01330,RF01330,fallback
RF01337,"Halocatena salina strain AD-1 plasmid unnamed2, complete sequence","Halocatena salina strain AD-1 plasmid unnamed2, complete sequence",header
RF01340,"Frankia casuarinae strain CcI3 chromosome, complete genome","Frankia casuarinae strain CcI3 chromosome, complete genome",header
RF01343,"Leptospira interrogans serovar Lai str. 56601 chromosome I, complete sequence","Leptospira interrogans serovar Lai str. 56601 chromosome I, complete sequence",header
RF01352,"Aneurinibacillus danicus NBRC 102444 DNA, sequence152, whole genome shotgun sequ","Aneurinibacillus danicus NBRC 102444 DNA, sequence152, whole genome shotgun sequence",header
RF01362,"Bacteroides sp. OM05-12 OM05-12.Scaf5, whole genome shotgun sequence","Bacteroides sp. OM05-12 OM05-12.Scaf5, whole genome shotgun sequence",header
RF01370,"Synechococcus sp. JA-2-3B'a(2-13), complete genome","Synechococcus sp. JA-2-3B'a(2-13), complete genome",header
RF01383,RF01383,RF01383,fallback
RF01394,RF01394,RF01394,fallback
RF01396,RF01396,RF01396,fallback
RF01405,RF01405,RF01405,fallback
RF01410,RF01410,RF01410,fallback
RF01411,RF01411,RF01411,fallback
RF01412,RF01412,RF01412,fallback
RF01413,RF01413,RF01413,fallback
RF01414,RF01414,RF01414,fallback
RF01417,RF01417,RF01417,fallback
RF01418,RF01418,RF01418,fallback
RF01419,RF01419,RF01419,fallback
RF01420,RF01420,RF01420,fallback
RF01421,RF01421,RF01421,fallback
RF01422,RF01422,RF01422,fallback
RF01423,RF01423,RF01423,fallback
RF01424,RF01424,RF01424,fallback
RF01426,"Medicago truncatula strain A17 chromosome 5, whole genome shotgun sequence","Medicago truncatula strain A17 chromosome 5, whole genome shotgun sequence",header
RF01427,Arabidopsis thaliana chromosome 5,Arabidopsis thaliana chromosome 5,header
RF01428,RF01428,RF01428,fallback
RF01429,Arabidopsis thaliana chromosome 3,Arabidopsis thaliana chromosome 3,header
RF01430,RF01430,RF01430,fallback
RF01431,RF01431,RF01431,fallback
RF01432,Arabidopsis thaliana chromosome 1 sequence,Arabidopsis thaliana chromosome 1 sequence,header
RF01433,Arabidopsis thaliana chromosome 3,Arabidopsis thaliana chromosome 3,header
RF01438,"Schizosaccharomyces japonicus yFS275 unplaced genomic scaffold supercont5.1, who","Schizosaccharomyces japonicus yFS275 unplaced genomic scaffold supercont5.1, whole genome shotgun sequence",header
RF01455,RF01455,RF01455,fallback
RF01470,RF01470,RF01470,fallback
RF01482,RF01482,RF01482,fallback
RF01489,RF01489,RF01489,fallback
RF01492,RF01492,RF01492,fallback
RF01494,RF01494,RF01494,fallback
RF01495,RF01495,RF01495,fallback
RF01496,RF01496,RF01496,fallback
RF01497,RF01497,RF01497,fallback
RF01498,"Ajellomyces capsulatus NAm1 scaffold_1 genomic scaffold, whole genome shotgun se","Ajellomyces capsulatus NAm1 scaffold_1 genomic scaffold, whole genome shotgun sequence",header
RF01499,RF01499,RF01499,fallback
RF01500,RF01500,RF01500,fallback
RF01501,"Aspergillus fumigatus Af293 chromosome 7, whole genome shotgun sequence","Aspergillus fumigatus Af293 chromosome 7, whole genome shotgun sequence",header
RF01502,RF01502,RF01502,fallback
RF01504,RF01504,RF01504,fallback
RF01505,RF01505,RF01505,fallback
RF01506,RF01506,RF01506,fallback
RF01507,"Aspergillus turcosus strain HMR AF 1038 NODE_208, whole genome shotgun sequence","Aspergillus turcosus strain HMR AF 1038 NODE_208, whole genome shotgun sequence",header
RF01509,RF01509,RF01509,fallback
RF01511,RF01511,RF01511,fallback
RF01512,RF01512,RF01512,fallback
RF01513,RF01513,RF01513,fallback
RF01514,RF01514,RF01514,fallback
RF01515,RF01515,RF01515,fallback
RF01518,RF01518,RF01518,fallback
RF01581,RF01581,RF01581,fallback
RF01615,"Caenorhabditis nigoni strain JU1422 chromosome IV, whole genome shotgun sequence","Caenorhabditis nigoni strain JU1422 chromosome IV, whole genome shotgun sequence",header
RF01629,Caenorhabditis elegans chromosome IV,Caenorhabditis elegans chromosome IV,header
RF01637,RF01637,RF01637,fallback
RF01656,RF01656,RF01656,fallback
RF01660,RF01660,RF01660,fallback
RF01668,RF01668,RF01668,fallback
RF01669,"Chloropsis hardwickii isolate B10K-IZ-033-78 scaffold_201_13, whole genome shotg","Chloropsis hardwickii isolate B10K-IZ-033-78 scaffold_201_13, whole genome shotgun sequence",header
RF01673,RF01673,RF01673,fallback
RF01674,Pseudomonas putida KT2440 complete genome,Pseudomonas putida KT2440 complete genome,header
RF01675,RF01675,RF01675,fallback
RF01676,"Pseudomonas sp. HLS-6 chromosome, complete genome","Pseudomonas sp. HLS-6 chromosome, complete genome",header
RF01684,RF01684,RF01684,fallback
RF01685,RF01685,RF01685,fallback
RF01687,RF01687,RF01687,fallback
RF01688,RF01688,RF01688,fallback
RF01689,RF01689,RF01689,fallback
RF01690,RF01690,RF01690,fallback
RF01691,RF01691,RF01691,fallback
RF01692,RF01692,RF01692,fallback
RF01693,RF01693,RF01693,fallback
RF01694,RF01694,RF01694,fallback
RF01695,RF01695,RF01695,fallback
RF01699,RF01699,RF01699,fallback
RF01701,RF01701,RF01701,fallback
RF01702,RF01702,RF01702,fallback
RF01704,RF01704,RF01704,fallback
RF01705,RF01705,RF01705,fallback
RF01706,RF01706,RF01706,fallback
RF01707,RF01707,RF01707,fallback
RF01708,RF01708,RF01708,fallback
RF01709,RF01709,RF01709,fallback
RF01717,RF01717,RF01717,fallback
RF01719,RF01719,RF01719,fallback
RF01720,RF01720,RF01720,fallback
RF01721,RF01721,RF01721,fallback
RF01725,RF01725,RF01725,fallback
RF01726,RF01726,RF01726,fallback
RF01727,RF01727,RF01727,fallback
RF01728,RF01728,RF01728,fallback
RF01731,RF01731,RF01731,fallback
RF01732,RF01732,RF01732,fallback
RF01734,RF01734,RF01734,fallback
RF01735,RF01735,RF01735,fallback
RF01739,RF01739,RF01739,fallback
RF01740,RF01740,RF01740,fallback
RF01745,RF01745,RF01745,fallback
RF01746,RF01746,RF01746,fallback
RF01747,RF01747,RF01747,fallback
RF01748,RF01748,RF01748,fallback
RF01749,RF01749,RF01749,fallback
RF01750,RF01750,RF01750,fallback
RF01751,RF01751,RF01751,fallback
RF01754,RF01754,RF01754,fallback
RF01755,RF01755,RF01755,fallback
RF01756,RF01756,RF01756,fallback
RF01758,RF01758,RF01758,fallback
RF01759,RF01759,RF01759,fallback
RF01760,RF01760,RF01760,fallback
RF01761,RF01761,RF01761,fallback
RF01762,RF01762,RF01762,fallback
RF01763,RF01763,RF01763,fallback
RF01764,RF01764,RF01764,fallback
RF01766,RF01766,RF01766,fallback
RF01767,RF01767,RF01767,fallback
RF01769,RF01769,RF01769,fallback
RF01770,RF01770,RF01770,fallback
RF01773,RF01773,RF01773,fallback
RF01776,RF01776,RF01776,fallback
RF01778,RF01778,RF01778,fallback
RF01781,RF01781,RF01781,fallback
RF01782,RF01782,RF01782,fallback
RF01786,RF01786,RF01786,fallback
RF01787,RF01787,RF01787,fallback
RF01788,RF01788,RF01788,fallback
RF01791,RF01791,RF01791,fallback
RF01793,RF01793,RF01793,fallback
RF01794,RF01794,RF01794,fallback
RF01796,RF01796,RF01796,fallback
RF01803,RF01803,RF01803,fallback
RF01813,RF01813,RF01813,fallback
RF01815,"Pelagibius litoralis strain DSM 21314 Scaffold1_1, whole genome shotgun sequence","Pelagibius litoralis strain DSM 21314 Scaffold1_1, whole genome shotgun sequence",header
RF01820,RF01820,RF01820,fallback
RF01823,RF01823,RF01823,fallback
RF01830,RF01830,RF01830,fallback
RF01831,RF01831,RF01831,fallback
RF01844,RF01844,RF01844,fallback
RF01845,RF01845,RF01845,fallback
RF01846,RF01846,RF01846,fallback
RF01847,RF01847,RF01847,fallback
RF01848,RF01848,RF01848,fallback
RF01849,RF01849,RF01849,fallback
RF01850,RF01850,RF01850,fallback
RF01852,RF01852,RF01852,fallback
RF01853,RF01853,RF01853,fallback
RF01854,RF01854,RF01854,fallback
RF01855,RF01855,RF01855,fallback
RF01856,RF01856,RF01856,fallback
RF01857,RF01857,RF01857,fallback
RF01859,RF01859,RF01859,fallback
RF01860,RF01860,RF01860,fallback
RF01867,RF01867,RF01867,fallback
RF01871,RF01871,RF01871,fallback
RF01872,RF01872,RF01872,fallback
RF01873,RF01873,RF01873,fallback
RF01874,RF01874,RF01874,fallback
RF01875,RF01875,RF01875,fallback
RF01876,RF01876,RF01876,fallback
RF01877,RF01877,RF01877,fallback
RF01879,RF01879,RF01879,fallback
RF01880,RF01880,RF01880,fallback
RF01881,RF01881,RF01881,fallback
RF01882,RF01882,RF01882,fallback
RF01883,RF01883,RF01883,fallback
RF01884,RF01884,RF01884,fallback
RF01887,RF01887,RF01887,fallback
RF01888,RF01888,RF01888,fallback
RF01891,RF01891,RF01891,fallback
RF01892,RF01892,RF01892,fallback
RF01894,RF01894,RF01894,fallback
RF01895,RF01895,RF01895,fallback
RF01896,RF01896,RF01896,fallback
RF01898,RF01898,RF01898,fallback
RF01903,RF01903,RF01903,fallback
RF01905,RF01905,RF01905,fallback
RF01906,RF01906,RF01906,fallback
RF01909,RF01909,RF01909,fallback
RF01911,RF01911,RF01911,fallback
RF01912,RF01912,RF01912,fallback
RF01914,RF01914,RF01914,fallback
RF01917,RF01917,RF01917,fallback
RF01920,RF01920,RF01920,fallback
RF01922,RF01922,RF01922,fallback
RF01923,RF01923,RF01923,fallback
RF01924,RF01924,RF01924,fallback
RF01925,RF01925,RF01925,fallback
RF01926,RF01926,RF01926,fallback
RF01928,"Mus musculus chromosome 12, GRCm39 reference primary assembly C57BL/6J","Mus musculus chromosome 12, GRCm39 reference primary assembly C57BL/6J",header
RF01937,RF01937,RF01937,fallback
RF01945,RF01945,RF01945,fallback
RF01946,RF01946,RF01946,fallback
RF01947,RF01947,RF01947,fallback
RF01948,RF01948,RF01948,fallback
RF01950,RF01950,RF01950,fallback
RF01951,RF01951,RF01951,fallback
RF01952,RF01952,RF01952,fallback
RF01953,RF01953,RF01953,fallback
RF01954,RF01954,RF01954,fallback
RF01955,RF01955,RF01955,fallback
RF01956,RF01956,RF01956,fallback
RF01957,RF01957,RF01957,fallback
RF01959,RF01959,RF01959,fallback
RF01960,RF01960,RF01960,fallback
RF01962,RF01962,RF01962,fallback
RF01963,RF01963,RF01963,fallback
RF01964,RF01964,RF01964,fallback
RF01965,RF01965,RF01965,fallback
RF01966,RF01966,RF01966,fallback
RF01967,RF01967,RF01967,fallback
RF01968,RF01968,RF01968,fallback
RF01969,RF01969,RF01969,fallback
RF01970,RF01970,RF01970,fallback
RF01971,RF01971,RF01971,fallback
RF01972,RF01972,RF01972,fallback
RF01973,RF01973,RF01973,fallback
RF01974,RF01974,RF01974,fallback
RF01975,RF01975,RF01975,fallback
RF01976,RF01976,RF01976,fallback
RF01977,RF01977,RF01977,fallback
RF01978,RF01978,RF01978,fallback
RF01979,RF01979,RF01979,fallback
RF01981,RF01981,RF01981,fallback
RF01983,RF01983,RF01983,fallback
RF01984,RF01984,RF01984,fallback
RF01985,RF01985,RF01985,fallback
RF01986,RF01986,RF01986,fallback
RF01987,RF01987,RF01987,fallback
RF01989,RF01989,RF01989,fallback
RF01990,RF01990,RF01990,fallback
RF01992,RF01992,RF01992,fallback
RF01998,RF01998,RF01998,fallback
RF01999,RF01999,RF01999,fallback
RF02000,RF02000,RF02000,fallback
RF02001,RF02001,RF02001,fallback
RF02003,RF02003,RF02003,fallback
RF02004,RF02004,RF02004,fallback
RF02005,RF02005,RF02005,fallback
RF02012,RF02012,RF02012,fallback
RF02017,RF02017,RF02017,fallback
RF02020,"Marmota monax genome assembly, contig: monax5_s00483, whole genome shotgun seque","Marmota monax genome assembly, contig: monax5_s00483, whole genome shotgun sequence",header
RF02025,"Acyrthosiphon pisum isolate AL4f chromosome A1, whole genome shotgun sequence","Acyrthosiphon pisum isolate AL4f chromosome A1, whole genome shotgun sequence",header
RF02027,"Oryza nivara chromosome 3, whole genome shotgun sequence","Oryza nivara chromosome 3, whole genome shotgun sequence",header
RF02029,RF02029,RF02029,fallback
RF02030,RF02030,RF02030,fallback
RF02031,RF02031,RF02031,fallback
RF02032,RF02032,RF02032,fallback
RF02033,RF02033,RF02033,fallback
RF02034,RF02034,RF02034,fallback
RF02035,RF02035,RF02035,fallback
RF02038,RF02038,RF02038,fallback
RF02039,RF02039,RF02039,fallback
RF02040,RF02040,RF02040,fallback
RF02041,RF02041,RF02041,fallback
RF02042,RF02042,RF02042,fallback
RF02043,RF02043,RF02043,fallback
RF02045,RF02045,RF02045,fallback
RF02046,Drosophila melanogaster chromosome 2R,Drosophila melanogaster chromosome 2R,header
RF02047,RF02047,RF02047,fallback
RF02057,RF02057,RF02057,fallback
RF02061,RF02061,RF02061,fallback
RF02074,RF02074,RF02074,fallback
RF02076,RF02076,RF02076,fallback
RF02081,RF02081,RF02081,fallback
RF02089,RF02089,RF02089,fallback
RF02090,RF02090,RF02090,fallback
RF02091,RF02091,RF02091,fallback
RF02092,"Monodelphis domestica chromosome 6, whole genome shotgun sequence","Monodelphis domestica chromosome 6, whole genome shotgun sequence",header
RF02093,RF02093,RF02093,fallback
RF02094,"Ficedula albicollis isolate OC2 chromosome 2, whole genome shotgun sequence","Ficedula albicollis isolate OC2 chromosome 2, whole genome shotgun sequence",header
RF02095,RF02095,RF02095,fallback
RF02101,RF02101,RF02101,fallback
RF02103,RF02103,RF02103,fallback
RF02104,RF02104,RF02104,fallback
RF02105,RF02105,RF02105,fallback
RF02106,RF02106,RF02106,fallback
RF02107,RF02107,RF02107,fallback
RF02108,RF02108,RF02108,fallback
RF02109,RF02109,RF02109,fallback
RF02110,RF02110,RF02110,fallback
RF02112,RF02112,RF02112,fallback
RF02113,RF02113,RF02113,fallback
RF02114,RF02114,RF02114,fallback
RF02115,RF02115,RF02115,fallback
RF02116,RF02116,RF02116,fallback
RF02117,RF02117,RF02117,fallback
RF02118,RF02118,RF02118,fallback
RF02119,RF02119,RF02119,fallback
RF02120,RF02120,RF02120,fallback
RF02121,RF02121,RF02121,fallback
RF02122,RF02122,RF02122,fallback
RF02123,RF02123,RF02123,fallback
RF02124,RF02124,RF02124,fallback
RF02125,RF02125,RF02125,fallback
