family,short_name,description,source
RF03058,RF03058,RF03058,fallback
RF03059,RF03059,RF03059,fallback
RF03060,RF03060,RF03060,fallback
RF03062,RF03062,RF03062,fallback
RF03063,RF03063,RF03063,fallback
RF03064,RF03064,RF03064,fallback
RF03065,RF03065,RF03065,fallback
RF03067,RF03067,RF03067,fallback
RF03068,RF03068,RF03068,fallback
RF03069,RF03069,RF03069,fallback
RF03070,RF03070,RF03070,fallback
RF03071,RF03071,RF03071,fallback
RF03072,RF03072,RF03072,fallback
RF03074,RF03074,RF03074,fallback
RF03075,RF03075,RF03075,fallback
RF03076,RF03076,RF03076,fallback
RF03077,RF03077,RF03077,fallback
RF03078,RF03078,RF03078,fallback
RF03081,RF03081,RF03081,fallback
RF03082,RF03082,RF03082,fallback
RF03085,RF03085,RF03085,fallback
RF03086,RF03086,RF03086,fallback
RF03090,RF03090,RF03090,fallback
RF03126,RF03126,RF03126,fallback
RF03127,RF03127,RF03127,fallback
RF03128,RF03128,RF03128,fallback
RF03129,RF03129,RF03129,fallback
RF03130,RF03130,RF03130,fallback
RF03131,RF03131,RF03131,fallback
RF03132,RF03132,RF03132,fallback
RF03133,RF03133,RF03133,fallback
RF03135,RF03135,RF03135,fallback
RF03136,RF03136,RF03136,fallback
RF03137,RF03137,RF03137,fallback
RF03138,RF03138,RF03138,fallback
RF03139,RF03139,RF03139,fallback
RF03140,RF03140,RF03140,fallback
RF03141,RF03141,RF03141,fallback
RF03142,RF03142,RF03142,fallback
RF03143,RF03143,RF03143,fallback
RF03144,RF03144,RF03144,fallback
RF03146,RF03146,RF03146,fallback
RF03147,RF03147,RF03147,fallback
RF03148,RF03148,RF03148,fallback
RF03155,RF03155,RF03155,fallback
RF03156,RF03156,RF03156,fallback
RF03157,RF03157,RF03157,fallback
RF03158,RF03158,RF03158,fallback
RF03160,RF03160,RF03160,fallback
RF03161,RF03161,RF03161,fallback
RF03162,RF03162,RF03162,fallback
RF03163,RF03163,RF03163,fallback
RF03166,RF03166,RF03166,fallback
RF03167,RF03167,RF03167,fallback
RF03169,RF03169,RF03169,fallback
RF03176,"Brachypodium distachyon strain Bd21 chromosome 2, whole genome shotgun sequence","Brachypodium distachyon strain Bd21 chromosome 2, whole genome shotgun sequence",header
RF03186,RF03186,RF03186,fallback
RF03189,RF03189,RF03189,fallback
RF03208,"Rhagologus leucostigma isolate B10K-DU-029-40 scaffold1196, whole genome shotgun","Rhagologus leucostigma isolate B10K-DU-029-40 scaffold1196, whole genome shotgun sequence",header
RF03212,RF03212,RF03212,fallback
RF03214,RF03214,RF03214,fallback
RF03218,"Acyrthosiphon pisum isolate AL4f chromosome A3, whole genome shotgun sequence","Acyrthosiphon pisum isolate AL4f chromosome A3, whole genome shotgun sequence",header
RF03227,"Drosophila pseudoobscura strain MV2-25 chromosome X, UCI_Dpse_MV25, whole genome","Drosophila pseudoobscura strain MV2-25 chromosome X, UCI_Dpse_MV25, whole genome shotgun sequence",header
RF03232,Bos taurus breed Hereford isolate L1 Dominette 01449 registration number 4219068,"Bos taurus breed Hereford isolate L1 Dominette 01449 registration number 42190680 ScbfJmS_2447, whole genome shotgun sequence",header
RF03240,"Oryza barthii chromosome 11, whole genome shotgun sequence","Oryza barthii chromosome 11, whole genome shotgun sequence",header
RF03241,Anser cygnoides isolate SCWG-2014 breed Sichuan white goose unplaced genomic sca,"Anser cygnoides isolate SCWG-2014 breed Sichuan white goose unplaced genomic scaffold scaffold69, whole genome shotgun sequence",header
RF03242,RF03242,RF03242,fallback
RF03247,"Homo sapiens chromosome 3, GRCh38 reference primary assembly","Homo sapiens chromosome 3, GRCh38 reference primary assembly",header
RF03255,RF03255,RF03255,fallback
RF03261,"Coturnix japonica isolate 7356 chromosome 2, whole genome shotgun sequence","Coturnix japonica isolate 7356 chromosome 2, whole genome shotgun sequence",header
RF03265,"Manacus vitellinus isolate BGI_N305 unplaced genomic scaffold scaffold44, whole","Manacus vitellinus isolate BGI_N305 unplaced genomic scaffold scaffold44, whole genome shotgun sequence",header
RF03272,"Astyanax mexicanus isolate Rio Sabinas/Rio Valles surface cross chromosome 9, wh","Astyanax mexicanus isolate Rio Sabinas/Rio Valles surface cross chromosome 9, whole genome shotgun sequence",header
RF03278,RF03278,RF03278,fallback
RF03279,RF03279,RF03279,fallback
RF03288,"Mus musculus chromosome 19, GRCm39 reference primary assembly C57BL/6J","Mus musculus chromosome 19, GRCm39 reference primary assembly C57BL/6J",header
RF03292,RF03292,RF03292,fallback
RF03299,RF03299,RF03299,fallback
RF03301,RF03301,RF03301,fallback
